address,price,square_footage,num_beds,num_baths,image_url
"1105 Stonewall Dr,Mansfield, TX 76063",685000,3347,5,3,https://photos.zillowstatic.com/fp/2a51080e0c3b52d08507dd031a456ab6-cc_ft_960.jpg
"609 Royal Minister Blvd,Lewisville, TX 75056",799900,3213,4,4,https://photos.zillowstatic.com/fp/72edace77f71980773c5ee6795acd79f-cc_ft_960.jpg
"39 Village Ln,Colleyville, TX 76034",979000,3200,3,5,https://photos.zillowstatic.com/fp/c4fc693495692265ec4c117a7a2a4aab-cc_ft_960.jpg
"114 Blackburn Dr,Coppell, TX 75019",1350000,3513,4,5,https://photos.zillowstatic.com/fp/47d471fd9572dfd35e2b1913f0d82401-cc_ft_960.jpg
"703 Acadia St,Mansfield, TX 76063",539900,3451,4,3,https://photos.zillowstatic.com/fp/25300e1bb1a94414958cc6cc4928e8fc-cc_ft_960.jpg
"8501 Fresh Meadows Rd,North Richland Hills, TX 76182",979000,3426,4,4,https://photos.zillowstatic.com/fp/e9255a6cfdfdc872a768a2d08da83fe4-cc_ft_960.jpg
"2153 Balcones Dr,Carrollton, TX 75010",815000,3462,4,5,https://photos.zillowstatic.com/fp/b4b7bd33fd33ddefe3bc8851b75a955e-cc_ft_960.jpg
"2157 Lookout Ct,Hurst, TX 76054",1011000,4098,4,5,https://photos.zillowstatic.com/fp/a877ad3b67a76329c4313f9c2f1766b7-cc_ft_960.jpg
"804 Glenmont Rd,Keller, TX 76248",1270000,4264,4,4,https://photos.zillowstatic.com/fp/518c9c1e68c4d9f4a9c73284c5777a76-cc_ft_960.jpg
"450 Settlers Ridge Dr,Keller, TX 76248",1100000,3976,4,5,https://photos.zillowstatic.com/fp/a20ddb05c796673faebd85ffd9998d69-cc_ft_960.jpg
"1717 Latera Cir,Flower Mound, TX 75028",1499000,4584,4,5,https://photos.zillowstatic.com/fp/0ed93d59a78437487a0ed8b7c2a0131d-cc_ft_960.jpg
"725 Royal Minister Blvd,Lewisville, TX 75056",825000,3246,3,3,https://photos.zillowstatic.com/fp/e00edd7ad55f4014ef9b96443eacfe13-cc_ft_960.jpg
"810 Brenda Dr,Mansfield, TX 76063",584990,2900,4,3,https://photos.zillowstatic.com/fp/b6f2a6fc529acd6e52108fbd28fff400-cc_ft_960.jpg
"1009 Franklin Dr,Mansfield, TX 76063",675000,3822,4,3,https://photos.zillowstatic.com/fp/9aed41a79b56771d0a5c1e4cb21fde9e-cc_ft_960.jpg
